"Version";"Supportée";"Date apparition";"Fin de vie"
14;Oui;09/2021;11/2026
13;Oui;09/2020;11/2025
12;Oui;10/2019;11/2024
11;Oui;10/2017;11/2023
10;Oui;10/2017;11/2022
9.6;Oui;09/2016;11/2021
9.5;Non;01/2016;02/2021
9.4;Non;12/2014;02/2020
9.3;Non;09/2013;11/2018
9.2;Non;09/2012;09/2017
9.1;Non;09/2011;09/2016
9.0;Non;09/2010;09/2015
8.4;Non;07/2009;07/2014
8.3;Non;02/2008;02/2013
8.2;Non;12/2006;12/2011
8.1;Non;11/2005;11/2010
8.0;Non;01/2005;10/2010
7.4;Non;11/2003;10/2010
7.3;Non;11/2002;11/2007
7.2;Non;02/2002;02/2007
7.1;Non;04/2001;04/2006
7.0;Non;05/2000;05/2005
6.5;Non;06/1999;06/2004
6.4;Non;10/1998;10/2003
6.3;Non;03/1998;03/2003
